sim_swap_time_gap_minutes,device_change_flag,sim_type_change_flag,imsi_change_flag,iccid_change_flag,otp_and_sim_change_geo_hash_length,recent_sim_activation_days,num_sim_changes_last_30d,previous_sim_holder_tenure_days,account_age_days,ip_change_flag,sim_swap_flag
6870,0,1,1,1,0.17,1,3,882,1233,1,1
8187,1,1,1,1,0.53,176,2,1077,575,0,1
2794,0,0,1,1,0.76,54,3,907,409,1,1
8135,0,0,0,0,0.24,239,1,571,890,0,0
1929,0,0,1,0,0.46,188,0,1070,329,1,0
7614,0,1,0,1,0.32,255,4,170,696,0,1
1924,1,0,1,1,0.95,286,5,562,1083,1,1
6373,0,1,1,0,0.46,188,3,211,1137,0,1
8812,0,1,0,0,0.91,93,4,541,71,1,0
7704,0,1,0,0,0.43,205,3,272,789,0,0
6940,0,1,1,1,0.53,292,4,762,811,1,1
7056,1,1,1,1,0.33,92,3,760,1133,1,1
4145,1,1,0,0,0.6,67,2,664,383,1,1
9973,1,1,1,1,0.41,131,5,468,999,0,1
4608,1,0,0,1,0.38,94,2,489,361,0,1
7609,1,0,1,1,0.15,136,4,562,763,1,1
7179,1,0,1,0,0.38,37,2,429,842,0,1
4718,0,0,0,1,0.79,294,0,644,1159,0,0
6560,0,0,0,0,0.42,4,4,621,991,1,0
459,0,0,1,1,0.61,184,3,989,1073,0,1
9588,1,0,0,1,0.63,365,0,670,1542,0,0
5148,1,0,0,0,0.8,47,0,607,404,0,0
9525,0,1,1,0,0.54,170,0,838,176,1,1
5968,1,0,1,0,0.74,357,1,452,1475,0,1
3201,1,1,1,1,0.16,311,5,853,1741,0,1
5442,0,1,0,1,0.2,307,2,617,1247,1,1
8916,0,1,0,0,0.63,139,3,628,1703,0,0
5605,0,0,0,0,0.67,145,4,591,388,0,0
5394,0,1,1,1,0.89,272,4,1073,571,1,1
9548,0,1,0,1,0.87,334,3,24,1560,1,1
302,1,0,1,0,0.25,188,3,337,205,0,1
1267,0,0,1,0,0.18,315,5,411,979,0,1
7051,0,1,0,0,0.2,134,3,645,1557,1,1
3516,1,0,0,0,0.27,47,5,337,892,1,1
9840,0,1,1,0,0.75,332,3,556,1054,0,1
2630,0,1,1,0,0.02,14,5,522,683,1,1
2410,0,1,1,0,0.91,162,0,1025,1040,1,1
9723,1,0,0,0,0.23,249,5,1086,946,0,0
5940,0,0,0,1,0.56,47,2,555,800,1,0
1680,1,1,0,1,0.92,93,3,155,456,1,1
3836,0,1,0,0,0.28,69,0,226,368,1,0
6720,1,1,0,0,0.65,66,1,393,1772,1,1
4568,1,0,0,1,0.81,42,2,987,185,1,1
8626,0,0,1,0,0.17,149,1,966,1780,1,0
4675,0,0,1,0,0.49,308,5,587,691,0,0
5339,0,0,0,1,0.87,28,4,99,1243,0,0
2881,0,0,0,0,0.77,272,1,842,1787,1,0
6766,1,1,0,0,0.77,364,0,606,1764,0,1
9547,1,1,0,1,0.38,183,5,808,1339,0,1
3983,1,1,0,0,0.33,310,3,158,735,1,1
2685,0,0,1,1,0.25,283,2,422,79,0,1
4382,0,0,1,0,0.59,177,0,752,1415,1,0
6659,1,1,1,1,0.18,87,0,911,945,0,1
2683,0,1,1,0,0.0,3,5,1032,442,0,1
8371,0,1,1,0,0.68,71,2,497,479,0,1
8742,0,1,0,1,0.57,264,3,638,1739,1,1
6100,1,1,0,1,0.96,69,2,297,640,1,1
6082,1,0,1,0,0.33,63,5,22,216,1,1
7096,1,0,0,0,0.59,245,2,206,411,1,0
8816,0,1,1,1,0.91,197,4,1033,1639,0,1
9229,0,1,0,1,0.28,296,1,768,1455,0,1
827,0,0,0,1,0.0,34,4,357,166,1,1
9589,1,0,0,1,0.61,152,4,565,1578,1,1
9780,1,1,0,0,0.39,131,1,312,696,0,1
1494,0,0,1,0,0.34,185,2,656,926,1,1
1235,0,0,1,1,0.56,362,0,17,1666,1,1
9138,1,1,1,0,0.95,165,4,481,1243,1,1
8426,1,0,0,1,0.39,272,4,127,1081,0,1
9309,0,0,0,1,0.45,330,2,32,1216,0,0
2748,0,1,1,0,0.24,31,0,18,86,0,1
4707,1,0,1,1,0.99,300,0,902,231,0,1
2918,0,1,0,1,0.81,252,2,1054,296,1,1
2800,0,1,1,0,0.21,322,1,1013,427,0,1
6361,1,0,1,1,0.71,313,2,731,1709,1,1
3709,1,1,1,1,0.11,35,1,467,210,1,1
9833,0,0,1,0,0.48,294,4,320,1702,0,0
4518,1,0,1,1,0.42,148,5,489,439,0,1
840,0,0,1,1,0.68,305,5,671,485,1,1
2950,1,1,0,0,0.1,17,3,791,294,0,1
1766,0,0,1,0,0.78,165,5,947,762,1,1
9144,0,0,0,0,0.42,148,5,798,1591,0,0
458,0,1,1,1,0.36,213,3,823,928,1,1
7492,0,0,1,0,0.84,277,4,302,263,1,0
437,0,0,0,1,0.14,165,5,419,1144,0,1
5841,1,0,1,1,0.02,69,3,1061,71,1,1
6326,1,0,1,0,0.06,204,1,301,358,1,1
9438,1,1,0,1,0.29,187,2,421,1,1,1
2617,1,1,1,1,0.65,123,3,461,383,0,1
2283,1,1,0,0,0.23,284,3,750,1359,0,1
1367,1,0,0,1,0.96,210,1,386,993,1,1
3469,0,1,0,1,0.06,306,4,947,464,0,1
5102,1,0,0,1,0.04,61,5,118,1598,0,1
1312,0,0,0,1,0.75,252,0,989,1268,1,0
1254,0,1,0,1,0.08,280,0,972,40,0,1
3621,0,0,1,1,0.37,106,2,160,288,1,1
4964,0,1,1,0,0.96,283,3,424,1587,0,1
3106,1,1,1,1,0.65,133,3,68,1066,1,1
7852,0,1,1,1,0.45,185,4,413,546,0,1
7860,0,1,0,1,0.9,254,0,373,1185,0,0
6866,1,1,1,0,0.05,317,5,393,212,0,1
225,0,0,1,0,0.31,161,4,351,857,0,1
5990,1,0,0,0,0.94,155,3,736,628,1,0
8955,0,1,1,0,0.89,125,4,194,642,1,1
2521,1,1,0,1,0.53,346,3,447,258,0,1
4488,0,1,1,0,0.6,326,1,587,1521,0,1
4191,0,0,1,0,0.01,279,3,449,1793,1,1
5153,0,0,0,0,0.44,72,2,1072,1787,1,0
7453,1,1,0,1,0.34,31,2,24,1680,1,1
8375,0,1,1,0,0.17,59,5,37,1742,1,1
834,1,1,1,0,0.2,20,2,99,767,0,1
596,0,0,0,1,0.74,66,3,467,607,1,1
4203,1,1,0,1,0.27,129,0,206,589,1,1
3650,1,0,0,1,0.35,163,0,733,789,1,1
734,1,1,1,0,0.36,1,3,515,84,0,1
7688,0,1,1,1,0.35,57,1,159,359,1,1
1031,0,0,1,0,0.89,181,4,1050,821,1,1
8086,1,1,0,1,0.66,81,4,373,805,1,1
1189,0,0,1,0,0.76,294,3,739,579,1,1
2308,1,0,0,0,0.32,58,1,837,858,1,0
2492,1,1,0,0,0.19,244,1,884,1364,1,1
4711,1,1,0,0,0.32,300,2,839,496,0,1
3022,0,0,0,1,0.37,261,1,203,1456,1,0
9961,1,1,1,1,0.78,323,5,458,1037,0,1
5732,0,0,0,0,0.66,242,1,501,598,1,0
625,0,1,1,1,0.56,188,2,688,1423,0,1
8185,1,1,0,1,0.5,290,5,207,1687,0,1
9970,1,0,0,1,0.11,341,1,648,397,0,1
5705,1,1,0,0,0.92,64,2,533,911,1,1
87,1,0,0,0,0.1,346,5,305,1381,0,1
1782,1,1,1,1,0.84,154,1,577,791,0,1
8905,0,0,1,0,0.42,147,0,288,118,1,0
5798,0,1,0,1,0.74,249,1,656,1488,1,1
9759,1,0,1,1,0.98,210,1,640,1297,1,1
8409,1,1,0,0,0.9,182,4,125,1802,1,1
1333,0,0,0,1,0.38,279,5,118,695,0,0
6657,1,1,0,0,0.49,149,3,1049,198,0,1
6227,0,1,0,1,0.81,168,5,471,1357,0,1
4370,0,0,0,1,0.94,196,1,427,1079,0,0
2179,0,0,0,1,0.92,158,0,403,552,0,0
7818,0,0,0,1,0.61,264,1,337,1284,0,0
8351,0,1,0,0,0.21,305,0,898,335,0,0
2101,1,0,1,0,0.95,117,5,8,85,0,1
2336,1,0,0,1,0.79,18,0,443,452,0,1
4695,1,0,1,0,0.19,80,5,912,1248,1,1
9852,1,0,0,1,0.56,47,4,69,1487,0,1
6761,1,1,1,0,0.35,63,2,653,204,0,1
8518,1,1,1,1,0.4,305,1,614,1048,0,1
9082,0,0,1,1,0.28,9,1,377,701,0,1
4499,0,1,1,1,0.08,131,1,495,254,0,1
8504,0,0,1,1,0.98,136,2,867,920,0,1
547,1,1,1,0,0.33,175,1,671,283,1,1
3784,0,1,1,1,0.81,147,2,570,1405,1,1
7057,1,0,1,0,0.65,86,3,384,655,1,1
626,0,1,0,1,0.64,131,4,831,187,1,1
5909,0,0,0,0,0.81,329,5,998,1661,0,0
2244,0,0,0,1,0.73,330,3,851,1294,0,0
3893,0,0,0,1,0.93,249,2,1035,438,1,0
6131,0,0,0,1,0.79,359,3,246,1471,1,0
4669,0,1,1,0,0.91,26,5,72,1438,0,1
7535,1,1,0,1,0.22,285,4,477,1075,0,1
8169,0,0,0,0,0.15,99,2,1012,1014,0,0
947,0,0,0,0,0.99,283,1,545,1036,0,0
5031,0,1,0,1,0.41,187,1,87,637,0,1
9127,0,1,0,1,0.33,191,5,889,237,0,1
9964,0,0,1,0,0.6,138,0,359,614,0,0
9867,0,1,1,0,0.21,18,3,383,1294,0,1
81,0,0,1,1,0.8,124,3,767,1619,1,1
6803,0,1,0,1,0.71,149,0,966,313,0,1
4698,0,0,0,1,0.45,106,5,393,434,0,0
631,0,1,0,0,0.48,138,0,104,1251,1,0
1275,1,1,0,0,0.55,175,4,1088,1094,0,1
3723,1,0,1,1,0.17,105,1,741,549,1,1
3979,1,0,0,1,0.92,208,0,802,862,0,1
7309,0,1,1,0,0.56,215,1,602,615,1,1
4972,1,1,1,1,0.76,271,5,411,1693,1,1
8080,1,1,0,0,0.49,240,4,246,7,1,1
5324,0,1,1,1,0.08,255,1,664,266,1,1
9189,0,1,1,1,0.81,361,5,63,82,1,1
5448,1,1,0,0,0.58,162,2,194,1,0,1
8336,0,0,0,0,0.2,121,5,643,1023,1,0
7932,1,1,1,0,0.76,173,4,809,1137,1,1
57,1,0,0,1,0.84,58,5,945,524,1,1
3715,0,1,0,1,0.87,181,2,397,1807,1,1
2839,1,1,0,1,0.55,209,1,144,1147,1,1
355,0,1,1,0,0.55,125,4,689,355,1,1
4333,1,0,0,1,0.64,252,2,482,685,1,1
9718,0,0,1,1,0.2,351,0,223,1173,0,1
7136,1,1,0,0,0.36,99,5,55,138,1,1
5334,0,1,0,0,0.52,252,1,306,379,0,0
386,1,1,1,1,0.02,198,3,389,1529,1,1
1204,0,0,0,1,0.57,337,1,829,1268,0,0
2613,0,1,0,0,0.46,302,2,802,441,0,0
8888,0,1,1,0,0.82,95,0,330,699,1,1
192,0,0,0,1,0.74,61,4,273,283,0,0
4318,0,1,1,0,0.95,43,5,907,1,1,1
2773,0,1,1,1,0.7,271,0,980,574,1,1
4694,1,0,1,0,0.24,28,0,767,933,1,1
9913,0,1,0,0,0.62,346,0,341,1342,1,0
5396,0,0,0,1,0.06,343,3,1009,157,0,0
229,1,0,0,0,0.75,316,1,40,1823,1,0
429,0,0,0,0,0.44,244,4,544,1493,1,0
4706,1,1,1,1,0.38,351,4,916,839,0,1
7540,0,1,0,1,0.72,166,0,796,1415,0,1
4912,0,0,0,0,0.46,116,3,610,204,1,0
7511,0,0,0,1,0.94,35,2,918,1751,1,0
6930,1,1,1,0,0.83,108,0,243,355,0,1
9578,1,0,0,1,0.78,227,3,288,1021,0,1
1463,1,1,0,1,0.93,350,4,659,531,1,1
1567,0,0,0,1,0.08,269,2,568,1091,0,1
7245,1,0,0,1,0.08,359,4,717,733,0,1
7797,1,0,0,0,0.9,60,5,746,1136,1,0
5948,1,0,1,1,0.76,151,1,151,708,1,1
83,1,0,0,0,0.0,176,5,956,863,0,1
2583,1,1,1,1,0.06,206,1,562,1571,0,1
9881,1,1,0,0,0.54,14,3,439,1801,0,1
4428,0,0,1,1,0.14,106,1,829,1557,0,1
571,1,1,0,0,0.84,328,1,729,868,0,1
9365,1,0,0,0,0.15,324,5,509,245,0,0
5893,0,0,0,0,0.38,19,0,569,1140,1,0
7498,1,1,0,1,1.0,62,1,644,1613,0,1
5550,1,0,0,1,0.03,16,0,363,234,1,1
7724,1,0,0,0,0.09,219,2,367,1460,1,1
7101,1,1,0,0,0.24,158,0,755,988,1,1
1061,0,0,1,0,0.92,250,0,768,234,0,0
6671,0,1,0,1,0.65,156,3,1015,985,0,1
3159,1,0,1,0,0.17,114,2,862,13,1,1
4285,0,0,0,0,0.12,346,3,949,1107,0,0
1399,0,1,0,0,0.59,360,0,93,153,1,0
3512,1,1,1,0,0.7,113,4,813,289,1,1
2223,1,1,1,1,0.68,74,1,741,1315,0,1
1767,1,0,0,1,0.32,309,0,1068,713,0,1
5841,0,0,0,1,0.03,179,4,406,1476,0,0
8517,0,1,0,0,0.33,119,4,108,251,1,0
3978,1,1,1,0,0.85,222,2,737,56,1,1
2045,1,0,1,1,0.98,261,3,551,1050,0,1
328,1,1,1,0,0.68,163,4,993,858,1,1
1475,0,1,0,0,0.47,133,0,282,1113,1,0
8896,0,1,1,1,0.43,291,3,121,1554,1,1
1330,1,0,0,0,0.6,338,3,62,235,0,0
3977,0,0,1,1,0.12,40,4,279,1463,1,1
2774,0,0,1,1,0.8,278,0,617,346,0,1
4627,1,0,0,1,0.89,258,3,635,182,1,1
760,0,0,1,0,0.78,273,2,932,35,1,1
1861,1,0,0,1,0.3,12,5,594,775,0,1
8852,1,0,0,0,0.77,350,2,202,937,0,0
2140,0,1,0,1,0.69,29,4,1055,244,0,1
8902,1,1,0,1,0.51,290,0,1070,133,0,1
5852,0,0,1,1,0.97,189,3,1001,1464,0,1
2914,0,1,1,1,0.77,293,1,421,975,1,1
8563,1,0,1,1,0.39,289,3,629,1462,1,1
7892,1,1,0,0,0.38,50,0,685,682,1,1
6771,1,0,1,1,0.43,86,5,715,803,1,1
3073,1,0,0,1,0.87,96,2,669,554,0,1
6018,1,0,0,0,0.19,242,1,777,483,1,0
2861,0,0,1,1,0.6,103,2,1080,26,1,1
3448,1,0,0,1,0.03,230,5,723,416,1,1
5027,1,1,1,0,0.74,14,2,841,671,1,1
9811,0,0,0,1,0.6,161,1,413,583,0,0
4084,0,0,1,0,0.19,81,2,275,1540,1,1
487,0,0,1,0,0.54,0,5,379,828,0,1
3442,0,1,0,0,0.69,45,5,291,1676,1,0
7255,1,0,1,1,0.36,161,3,1,1048,0,1
4233,1,1,1,1,0.95,142,4,577,1072,1,1
6357,1,1,0,0,0.6,114,4,77,272,1,1
9132,1,1,1,0,0.95,117,1,971,1354,0,1
3738,1,0,1,0,0.96,158,3,188,1398,1,1
144,1,1,1,0,0.14,182,1,694,737,1,1
5040,1,0,1,1,0.47,6,4,971,1185,0,1
980,0,0,0,1,0.49,70,1,197,1055,0,0
9965,0,0,0,0,0.36,212,3,594,471,0,0
8693,1,0,1,0,0.31,164,3,287,495,1,1
5851,1,1,1,0,0.42,72,1,1083,489,0,1
9483,0,1,1,1,0.64,174,0,969,784,0,1
9250,0,0,0,0,0.77,117,5,376,220,0,0
3865,0,0,0,1,0.02,15,0,736,39,1,1
6359,1,1,0,0,0.61,46,1,736,1395,0,1
5494,0,1,0,0,0.78,23,1,143,557,0,0
6606,0,1,1,1,0.18,47,0,883,721,1,1
3546,1,0,0,0,0.79,223,3,246,789,1,0
7719,0,1,1,1,0.83,91,0,174,726,0,1
4616,1,0,0,0,0.6,107,4,439,1404,0,0
3574,1,0,1,1,0.89,223,5,28,144,0,1
